bad;/bæd/;adj:xấu, tồi
rope;/rəʊp/;n:dây cáp, dây thừng, xâu, chuỗi
rose;/rəʊz/;n:hoa hồng; cây hoa hồng
round;/raʊnd/;adj:tròn/adv:vòng quanh/prep:xung quanh
row;/rəʊ/;n:hàng, dây
rub;/rʌb/;v:cọ xát, xoa bóp, nghiền, tán
rule;/ruːl/;n:quy tắc, điều lệ, luật lệ/v:cai trị, chỉ huy, điều khiển
run;/rʌn/;v:chạy/n:sự chạy
rate;/reɪt/;n:mức độ/v:đánh giá
rice;/raɪs/;n:gạo
raccoon;/rækˈuːn/;n:con gấu mèo
role;/roʊl/;n:vai diễn
risk;/rɪsk/;n:rủi ro
rare;/rer/;adj:hiếm
rent;/rent/;v:thuê
rude;/ruːd/;adj:thô lỗ, hỗn xược
route;/ruːt/;n:tuyến đường
ruin;/ˈruː.ɪn/;v:phá hủy, tàn phá/n:tình trạng bị tàn phá
rush;/rʌʃ/;v:gấp rút, khẩn trương
rapid;/ˈræp.ɪd/;adj:nhanh chóng
rough;/rʌf/;adj:gồ ghề, thô/adj:gây khó khăn, khó chịu
reject;/rɪˈdʒekt/;v:từ chối
reduce;/rɪˈduːs/;v:giảm
reduction;/rɪˈdʌk.ʃən/;n:sự giảm
report;/rɪˈpɔːrt/;v:báo cáo
religious;/rɪˈlɪdʒ.əs/;adj:thuộc tôn giáo
religion;/rɪˈlɪdʒ.ən/;n:tôn giáo
relief;/rɪˈliːf/;n:cảm giác nhẹ nhõm
remind;/rɪˈmaɪnd/;v:gợi nhớ, gợi lại
remote;/rɪˈmoʊt/;adj:xa xôi
repair;/rɪˈper/;v:sửa chữa
recent;/ˈriː.sənt/;adj:mới xảy ra gần đây
resist;/rɪˈzɪst/;v:cưỡng lại, chống lại
rescue;/ˈres.kjuː/;v:giải cứu
retire;/rɪˈtaɪr/;v:nghỉ hưu
reveal;/rɪˈviːl/;v:tiết lộ, để lộ ra
return;/rɪˈtɝːn/;v:quay trở về
reward;/rɪˈwɔːrd/;n:phần thưởng/v:trao thưởng
rubber;/ˈrʌb.ɚ/;n:cao su
rumour;/ˈruː.mɚ/;n:lời đồn thổi
release;/rɪˈliːs/;v:thả ra, thải ra
remain;/rɪˈmeɪn/;v:còn lại, sót lại/v:giữ nguyên tình trạng
routine;/ruːˈtiːn/;n:thói quen
regular;/ˈreɡ.jə.lɚ/;adj:thường xuyên
reflect;/rɪˈflekt/;v:phản chiếu
relate;/rɪˈleɪt/;v:+ to liên quan tới
relation;/rɪˈleɪ.ʃən/;n:mối quan hệ
rounded;/ˈraʊn.dɪd/;adj:hình tròn/adj:phát triển toàn diện
relative;/ˈrel.ə.t̬ɪv/;n:họ hàng, người thân
relevant;/ˈrel.ə.vənt/;adj:liên quan, thích hợp
research;/ˈriː.sɝːtʃ/;n:sự nghiên cứu/v:ngiên cứu
response;/rɪˈspɑːns/;n:lời phản hồi, hồi âm
resource;/ˈriː.sɔːrs/;n:nguồn/v:cung cấp tiền hay cơ sở vật chất
recover;/rɪˈkʌv.ɚ/;v:hồi phục
recovery;/rɪˈkʌv.ɚ.i/;n:sự hồi phục, quá trình hồi phục
reliable;/rɪˈlaɪ.ə.bəl/;adj:đáng tin, có thể nhờ vả
register;/ˈredʒ.ə.stɚ/;v:đăng ký
react;/riˈækt/;v:phản ứng lại
reaction;/riˈæk.ʃən/;n:phản ứng
recognize;/ˈrek.əɡ.naɪz/;v:nhận ra, nhận thấy
recommend;/ˌrek.əˈmend/;v:đề xuất, gợi ý
recreate;/ˌriː.kriˈeɪt/;v:tái tạo/v:giải trí ngoài giờ làm việc
recreation;/ˌrek.riˈeɪ.ʃən/;n:hoạt động giải trí ngoài công việc
regulation;/ˌreɡ.jəˈleɪ.ʃən/;n:quy định, quy tắc, nội quy
regulate;/ˈreɡ.jə.leɪt/;v:quy định, ra quy định
reflection;/rɪˈflek.ʃən/;n:hình ảnh phản chiếu, sự phản chiếu
revolution;/ˌrev.əˈluː.ʃən/;n:sự cải cách, cuộc cách mạng
remarkable;/rɪˈmɑːr.kə.bəl/;adj:đáng chú ý, đáng ghi nhớ
retirement;/rɪˈtaɪr.mənt/;n:sự nghỉ hưu
responsible;/rɪˈspɑːn.sə.bəl/;adj:chịu trách nhiệm + for
reponsibility;/rɪˌspɑːn.səˈbɪl.ə.t̬i/;n:tránh nhiệm
relize;/ˈriː.ə.laɪz/;v:nhận ra, hiểu ra
relization;/ˌriː.ə.ləˈzeɪ.ʃən/;n:sự nhận ra
pollute;/pəˈluːt/;v:làm ô nhiễm
pollution;/pəˈluː.ʃən/;n:sự ô nhiễm
pollutant;/pəˈluː.t̬ənt/;n:chất gây ô nhiễm
safe;/seɪf/;adj:an toàn, chắc chắn, đáng tin
sail;/seɪl/;v:đi tàu, thuyền, nhổ neo/n:cánh buồm, chuyến đi bằng thuyền buồm
salt;/sɒlt/;n:muối
same;/seɪm/;adj:đều đều, đơn điệu/pron:cũng như thế, vẫn cái đó
sand;/sænd/;n:cát
society;/səˈsaɪ.ə.t̬i/;n:xã hội
social;/ˈsoʊ.ʃəl/;adj:(thuộc) xã hội
save;/seɪv/;v:cứu, lưu
say;/seɪ/;v:nói
scale;/skeɪl/;n:vảy (cá..)
skeleton;/ˈskel.ə.t̬ən/;n:bộ xương
school;/skuːl/;n:trường học
science;/saɪəns/;n:khoa học, khoa học tự nhiên
score;/skɔːr/;n:điểm số, bản thắng, tỷ số/v:đạt được, thành công, cho điểm
sea;/siː/;n:biển
search;/sɜːtʃ/;n:sự tìm kiếm, sự thăm dò, sự điều tra/v:tìm kiếm, thăm dò, điều tra
season;/ˈsiː.zən/;n:mùa
seat;/siːt/;n:ghế, chỗ ngồi
second;/ˈsek.ənd/;det:thứ hai, ở vị trí thứ 2, thứ nhì/n:người về nhì
section;/ˈsek.ʃən/;n:mục, phần
see;/siː/;v:nhìn, nhìn thấy, quan sát
seed;/siːd/;n:hạt, hạt giống
seem;/siːm/;v:có vẻ như, dường như, coi bộ
segment;/ˈseɡ.mənt/;n:đoạn, khúc, đốt, miếng;
select;/sɪˈlekt/;v:chọn lựa, chọn lọc
self;/self/;n:bản thân mình
sell;/sel/;v:bán
send;/send/;v:gửi, phái đi
sense;/sens/;n:giác quan, tri giác, cảm giác
sentence;/ˈsen.təns/;n:câu
separate;/ˈsep.ər.ət/;adj:khác nhau, riêng biệt/v:làm rời, tách ra, chia tay
serve;/sɜːv/;v:phục vụ, phụng sự
set;/set/;n:bộ, bọn, đám, lũ/v:đặt để, bố trí
settle;/ˈset.l̩/;v:giải quyết, dàn xếp, hòa giải, đặt, bố trí
seven;/ˈsev.ən/;det:bảy
several;/ˈsev.ər.əl/;det:vài
shape;/ʃeɪp/;n:hình, hình dạng, hình thù/v:tạo hình
share;/ʃeər/;v:đóng góp, tham gia, chia sẻ/n:phần đóng góp, phần tham gia, phần chia sẻ
sharp;/ʃɑːp/;adj:sắc, nhọn, bén
she;/ʃiː/;pron:bà ấy, chị ấy, cô ấy…
sheet;/ʃiːt/;n:chăn, khăn trải giường/n:lá, tấm, phiến, tờ
shell;/ʃel/;n:vỏ, mai/n:vẻ bề ngoài
shine;/ʃaɪn/;v:chiếu sáng, tỏa sáng
ship;/ʃɪp/;n:tàu, tàu thủy
shoe;/ʃuː/;n:giày
shop;/ʃɒp/;n:cửa hàng/v:đi mua hàng, đi chợ
shore;/ʃɔːr/;n:bờ (biển, hồ lớn), bờ biển
short;/ʃɔːt/;adj:ngắn, cụt
should;/ʃʊd/;v:nên
shoulder;/ˈʃəʊl.dər/;n:vai
shout;/ʃaʊt/;v:hò hét, reo hò/n:sự la hét, sự hò reo
show;/ʃəʊ/;v:biểu diễn, trưng bày/n:sự biểu diễn, sự bày tỏ
side;/saɪd/;n:mặt, mặt phẳng
sight;/saɪt/;n:cảnh đẹp/n:sự nhìn, tầm nhìn
sign;/saɪn/;n:dấu, dấu hiệu, kí hiệu đánh dấu/v:viết ký hiệu, ký tên
silent;/ˈsaɪ.lənt/;adj:im lặng, yên tĩnh
silver;/ˈsɪl.vər/;n:bạc, đồng bạc/adj:làm bằng bạc, trắng như bạc
similar;/ˈsɪm.ɪ.lər/;adj:giống như, tương tự như
simple;/ˈsɪm.pl̩/;adj:đơn, đơn giản, dễ dàng
since;/sɪns/;prep:từ, từ khi/conj:từ khi, từ lúc đó/adv:từ đó, từ lúc ấy
sing;/sɪŋ/;v:hát, ca hát
single;/ˈsɪŋ.ɡl̩/;adj:đơn, đơn độc, đơn lẻ
sister;/ˈsɪs.tər/;n:chị, em gái
cousin;/ˈkʌz.ən/;n:anh, chị, em họ
sit;/sɪt/;v:ngồi
six;/sɪks/;det:sáu
size;/saɪz/;n:cỡ
skill;/skɪl/;n:kỹ năng, kỹ xảo
skin;/skɪn/;n:da, vỏ
sky;/skaɪ/;n:trời, bầu trời
slave;/sleɪv/;n:người nô lệ (đen & bóng)
slavery;/ˈsleɪ.vər.i/;n:ách nô lệ
sleep;/sliːp/;v:ngủ/n:giấc ngủ
slip;/slɪp/;v:trượt, tuột, trôi qua, chạy qua
slow;/sləʊ/;adj:chậm, chậm chạp
small;/smɔːl/;adj:nhỏ, bé
smell;/smel/;v:ngửi/n:sự ngửi, khứu giác, mùi
smile;/smaɪl/;v:cười, mỉm cười/n:nụ cười, vẻ tươi cười
snow;/snəʊ/;n:tuyết/v:tuyết rơi
so;/səʊ/;adj:như vậy, như thế/conj:vì thế, vì vậy, vì thế cho nên
soft;/sɒft/;adj:mềm, dẻo
soil;/sɔɪl/;n:đất trồng/n:vết bẩn
soldier;/ˈsəʊl.dʒər/;n:lính, quân nhân
solution;/səˈluː.ʃən/;n:sự giải quyết, giải pháp
solve;/sɒlv/;v:giải, giải thích, giải quyết
some;/sʌm, səm/;det:một ít, một vài/pron:một vài (người, vật,...)
son;/sʌn/;n:con trai
daughter;/ˈdɑː.t̬ɚ/;n:con gái
song;/sɒŋ/;n:bài hát
soon;/suːn/;adv:sớm, chẳng bao lâu nữa
sound;/saʊnd/;n:âm thanh/v:nghe
south;/saʊθ/;n:hương Nam, hướng Nam/adj:ở phía Nam/adv:hướng về phía Nam
space;/speɪs/;n:khoảng trống, khoảng cách
speak;/spiːk/;v:nói
special;/ˈspeʃ.əl/;adj:đặc biệt, riêng biệt
speech;/spiːtʃ/;n:sự nói, khả năng nói, lời nói, cách nói, bài nói
speed;/spiːd/;n:tốc độ, vận tốc
spell;/spel/;v:đánh vần/n:bùa chú, bùa phép
spend;/spend/;v:tiêu, xài
spot;/spɔt/;n:dấu, đốm, vết
spread;/spred/;v:trải, căng ra, bày ra/v:truyền bá
spring;/sprɪŋ/;n:mùa xuân
square;/skweər/;adj:vuông, vuông vắn/n:dạng hình vuông, hình vuông
stand;/stænd/;v:đứng/n:sự đứng
star;/stɑːr/;n:ngôi sao/v:dán sao, trang trí hình sao, đánh dấu sao
start;/stɑːt/;v:bắt đầu, khởi động/n:sự bắt đầu, sự khởi đầu, khởi hành
state;/steɪt/;n:nhà nước, quốc gia, chính quyền/adj:(thuộc) nhà nước, liên quan đến nhà nước/v:phát biểu, tuyên bố
station;/ˈsteɪ.ʃən/;n:trạm, điểm, đồn
stay;/steɪ/;v:ở lại, lưu lại/n:sự ở lại, sự lưu lại
steam;/stiːm/;n:hơi nước
steel;/stiːl/;n:thép, ngành thép
step;/step/;n:bước;v:bước, bước đi
stick;/stɪk/;v:đâm, thọc, chọc, cắm, dính/n:cái gậy, qua củi, cán
still;/stɪl/;adj:đứng yên/adv:vẫn, vẫn còn
stone;/stəʊn/;n:đá
stop;/stɒp/;v:dừng, ngừng, nghỉ, thôi/n:sự dừng, sự ngừng, sự đỗ lại
store;/stɔːr/;n:cửa hàng, kho hàng/v:tích trữ, cho vào kho
story;/ˈstɔː.ri/;n:chuyện, câu chuyện
straight;/streɪt/;adj:thẳng, không cong/adv:thẳng
strange;/streɪndʒ/;adj:xa lạ, chưa quen
stream;/striːm/;n:dòng suối
street;/striːt/;n:phố, đường phố
stretch;/stretʃ/;v:căng ra, duỗi ra, kéo dài ra
string;/strɪŋ/;n:dây, sợi dây
strong;/strɒŋ/;adj:khỏe, mạnh, bền, vững, chắc chắn
student;/ˈstjuː.dənt/;n:sinh viên
study;/ˈstʌd.i/;n:sự học tập, sự nghiên cứu/v:học tập, nghiên cứu
subject;/ˈsʌb.dʒekt/;n:chủ đề, đề tài/n:chủ ngữ
substance;/ˈsʌb.stəns/;n:chất liệu, vật chất
subtract;/səbˈtrækt/;v:trừ (toán)
success;/səkˈses/;n:sự thành công, sự thành đạt
such;/sʌtʃ/;det:như thế, như vậy, như là
sudden;/ˈsʌd.ən/;adj:thình lình, đột ngột
sugar;/ˈʃʊɡ.ər/;n:đường
suggest;/səˈdʒest/;v:đề nghị, đề xuất, gợi ý
suit;/suːt/;n:bộ com lê, trang phục/v:thích hợp, quen, hợp với
gender;/ˈdʒen.dɚ/;n:giới tính
sex;/seks/;n:giới tính sinh học
summer;/ˈsʌm.ər/;n:mùa hè
sun;/sʌn/;n:mặt trời
supply;/səˈplaɪ/;n:sự cung cấp, nguồn cung cấp/v:cung cấp, đáp ứng, tiếp tế
support;/səˈpɔːt/;n:sự chống đỡ, sự ủng hộ/v:chống đỡ, ủng hộ
sure;/ʃɔːr/;adj:chắc chắn, xác thực
surface;/ˈsɜː.fɪs/;n:mặt, bề mặt
surprise;/səˈpraɪz/;n:sự ngạc nhiên, sự bất ngờ/v:làm ngạc nhiên, gây bất ngờ
swim;/swɪm/;v:bơi lội
syllable;/ˈsɪl.ə.bl̩/;n:âm tiết
symbol;/ˈsɪm.bəl/;n:biểu tượng, ký hiệu
system;/ˈsɪs.təm/;n:hệ thống, chế độ
talk;/tɑːk/;v:nói, nói về
teach;/tiːtʃ/;v:dạy học
take;/teɪk/;v:lấy, lấy khỏi/v:nhận
think;/θɪŋk/;v:suy nghĩ
try;/traɪ/;v:thử làm gì, cố gắng làm gì
travel;/ˈtræv.əl/;v:du lịch, đi đường xa
taste;/teɪst/;n:vị (của cái gì)/v:nếm vị
type;/taɪp/;n:loại, nhóm/v:đánh máy
thank;/θæŋk/;v:cảm ơn
tell;/tel/;v:kể, nói với
touch;/tʌtʃ/;v:chạm vào, sờ vào/n:một lượng nhỏ
turn;/tɝːn/;v:di chuyển theo hướng vòng tròn/n:lượt
throw;/θroʊ/;v:ném đi, quăng đi
tackle;/ˈtæk.əl/;v:đánh, đương đầu, đối phó
target;/ˈtɑːr.ɡɪt/;n:mục tiêu/v:nhắm tới
tend;/tend/;v:thường, có xu hướng
taunt;/tɑːnt/;v:khiêu khích
tease;/tiːz/;v:trêu trọc
terminate;/ˈtɝː.mə.neɪt/;v:chấm dứt
testify;/ˈtes.tə.faɪ/;v:làm chứng
transform;/trænsˈfɔːrm/;v:biến hình
transformation;/ˌtræns.fɚˈmeɪ.ʃən/;n:sự biến hình
treat;/triːt/;v:đối xử/n:quà ăn (bánh kẹo,...)
trust;/trʌst/;v:tin tưởng
tempt;/tempt/;v:dụ dỗ, thu hút
attempt;/əˈtempt/;v:cố gắng/n:lần thử, lần cố gắng
thrive;/θraɪv/;v:phát triển
tie;/θraɪv/;v:buộc, buộc chặt/n:cái cà vạt/n:kết quả hòa
trade;/treɪd/;v:trao đổi, mua bán/n:cuộc giao thương
tall;/tɑːl/;adj:cao ráo
talkative;/ˈtɑː.kə.t̬ɪv/;adj:lắm mồm, nhiều chuyện
trustworthy;/ˈtrʌstˌwɝː.ði/;adj:đáng tin cậy
tough;/tʌf/;adj:cứng rắn, khó
tender;/ˈten.dɚ/;adj:mềm (thịt)
tired;/taɪrd/;adj:mệt mỏi
terrify;/ˈter.ə.faɪ/;v:làm hoảng sợ 
terrified;/ˈter.ə.faɪd/;adj:bị hoảng sợ
thoughtful;/ˈθɑːt.fəl/;adj:chu đáo
troublesome;/ˈtrʌb.əl.səm/;adj:phiền toái
terrible;/ˈter.ə.bəl/;adj:tồi tệ
tight;/taɪt/;adj:chật (quần áo, giày dép,...)
technical;/ˈtek.nɪ.kəl/;adj:liên quan đến chuyên môn
thin;/θɪn/;adj:gầy gò, mảnh khảnh
tidy;/ˈtaɪ.di/;adj:gọn gàng, ngăn nắp
trendy;/ˈtren.di/;adj:theo xu hướng
trend;/trend/;n:xu hướng, mốt
thrilling;/ˈθrɪl.ɪŋ/;adj:kịch tính
tedious;/ˈtiː.di.əs/;adj:chán, buồn tẻ
today;/təˈdeɪ/;adv:vào hôm nay/n:ngày hôm nay
tomorrow;/təˈmɔːr.oʊ/;adv:vào ngày mai/n:ngày mai
three;/θriː/;det:ba
two;/tuː/;det:hai
ten;/ten/;det:mười
eleven;/əˈlev.ən/;det:mười một
twelve;/twelv/;det:mười hai
thirteen;/θɝːˈtiːn/;det:mười ba
fourteen;/ˌfɔːrˈtiːn/;det:mười bốn
fifteen;/ˌfɪfˈtiːn/;det:mười lăm
sixteen;/ˌsɪkˈstiːn/;det:mười sáu
seventeen;/ˌsev.ənˈtiːn/;det:mười bảy
eighteen;/ˌeɪˈtiːn/;det:mười tám
nineteen;/ˌnaɪnˈtiːn/;det:mười chín
twenty;/ˈtwen.t̬i/;det:hai mươi
together;/təˈɡeð.ɚ/;adv:cùng nhau
twice;/twaɪs/;adv:hai lần
therefore;/ˈðer.fɔːr/;adv:vì vậy/conj:vì vậy, vì thế
tradition;/trəˈdɪʃ.ən/;n:truyền thống
traditional;/trəˈdɪʃ.ən.əl/;adj:(thuộc) truyền thống
tropical;/ˈtrɑː.pɪ.kəl/;adj:(thuộc) vùng nhiệt đới
tropics;/ˈtrɑp·ɪks/;n:vùng nhiệt đới
temporary;/ˈtem.pə.rer.i/;adj:tạm thời
time;/taɪm/;n:thời gian
table;/ˈteɪ.bəl/;n:cái bàn
telephone;/ˈtel.ə.foʊn/;n:điện thoại
television;/ˈtel.ə.vɪʒ.ən/;n:TV
teacher;/ˈtiː.tʃɚ/;n:giáo viên
town;/taʊn/;n:thị trấn
temperature;/ˈtem.pɚ.ə.tʃɚ/;n:nhiệt độ
traffic;/ˈtræf.ɪk/;n:giao thông
ticket;/ˈtɪk.ɪt/;n:vé
tree;/triː/;n:cây cối
train;/treɪn/;n:tàu hỏa
bus;/bʌs/;n:xe buýt
coach;/koʊtʃ/;v:huấn luyện/n:huấn luyện viên/n:xe khách đường dài
trash;/træʃ/;n:rác thải
team;/tiːm/;n:đội
talent;/ˈtæl.ənt/;n:tài năng
technology;/tekˈnɑː.lə.dʒi/;n:công nghệ
term;/tɝːm/;n:kỳ (học,...)/n:thuật ngữ
test;/test/;n:bài kiểm tra, bài kiểm thử/v:kiểm tra, kiểm thử
text;/tekst/;n:chữ đánh máy/v:gửi tin nhắn (qua điện thoại)
therapy;/ˈθer.ə.pi/;n:trị liệu
thread;/θred/;n:cuộn chỉ
trouble;/ˈtrʌb.əl/;n:rắc rối, vấn đề/v:gây rắc rối
truth;/truːθ/;n:sự thật
transition;/trænˈzɪʃ.ən/;n:sự vận chuyển (hàng hóa)
transit;/ˈtræn.zɪt/;v:vận chuyển (hàng hóa)
transfer;/ˈtræns.fɝː/;v:vận chuyển (người, vật,...)
use;/juːz/;v:sử dụng
unit;/ˈjuː.nɪt/;n:đơn vị
upon;/əˈpɑːn/;prep:ở trên
urge;/ɝːdʒ/;n:sự thúc giục/v:thúc giục
user;/ˈjuː.zɚ/;n:người dùng
undo;/ʌnˈduː/;v:hoàn tác
ugly;/ˈʌɡ.li/;adj:xấu xí
until;/ʌnˈtɪl/;conj:cho đến khi
urban;/ˈɝː.bən/;adj:thuộc thành thị
under;/ˈʌn.dɚ/;prep:ở dưới
usual;/ˈjuː.ʒu.əl/;adj:bình thường, như mọi khi
usage;/ˈjuː.sɪdʒ/;n:cách sử dụng, sự sử dụng
union;/ˈjuː.njən/;n:liên hiệp
upset;/ʌpˈset/;v:làm ai buồn bực, lo lắng/adj:buồn bực, lo lắng
unite;/juːˈnaɪt/;v:đoàn kết
uncle;/ˈʌŋ.kəl/;n:chú, bác trai
urine;/ˈjʊr.ɪn/;n:nước tiểu
unless;/ənˈles/;conj:trừ khi
useful;/ˈjuːs.fəl/;adj:có ích
unique;/juːˈniːk/;adj:độc nhất
update;/ʌpˈdeɪt/;v:cập nhật, nâng cấp
unfair;/ʌnˈfer/;adj:không công bằng
unlock;/ʌnˈlɑːk/;v:mở khóa
lock;/lɑːk/;n:cái khóa/v:khóa lại
upload;/ʌpˈloʊd/;v:tải lên (mạng internet,...)
dangerous;/ˈdeɪn.dʒɚ.əs/;adj:nguy hiểm
undergo;/ˌʌn.dɚˈɡoʊ/;v:trải qua
unusual;/ʌnˈjuː.ʒu.əl/;adj:bất thưởng
uniform;/ˈjuː.nə.fɔːrm/;n:đồng phục
upgrade;/ʌpˈɡreɪd/;v:nâng cấp/n:sự nâng cấp
utility;/juːˈtɪl.ə.t̬i/;n:tiện ích
useless;/ˈjuːs.ləs/;adj:vô dụng
uncover;/ʌnˈkʌv.ɚ/;v:bật mí, tiết lộ, để lộ ra
luck;/lʌk/;n:sự may mắn
lucky;/ˈlʌk.i/;adj:may mắn
umbrellla;/ʌmˈbrel.ə/;n:cái ô
ultimate;/ˈʌl.tə.mət/;adj:tối thượng, cực kì
universe;/ˈjuː.nə.vɝːs/;n:vũ trụ
university;/ˌjuː.nəˈvɝː.sə.t̬i/;n:Đại học
universal;/ˌjuː.nəˈvɝː.səl/;adj:mang tính toàn cầu
underwear;/ˈʌn.dɚ.wer/;n:đồ lót
undertake;/ˌʌn.dɚˈteɪk/;v:đảm nhận
understand;/ˌʌn.dɚˈstænd/;v:hiểu
understandable;/ˌʌn.dɚˈstæn.də.bəl/;adj:dễ hiểu
underwater;/ˌʌn.dɚˈwɑː.t̬ɚ/;adj:ở dưới nước/adv:dưới nước
unreliable;/ˌʌn.rɪˈlaɪə.bəl/;adj:không đáng tin
undercover;/ˌʌn.dɚˈkʌv.ɚ/;adj:bí mật
underground;/ˈʌn.dɚ.ɡraʊnd/;adj:ở dưới lòng đất/adv:dưới lòng đất
available;/əˈveɪ.lə.bəl/;adj:có sẵn (để sử dụng)
employ;/ɪmˈplɔɪ/;v:thuê
employment;/ɪmˈplɔɪ.mənt/;n:sự thuê
employee;/ˌem.plɔɪˈiː/;n:nhân viên
view;/vjuː/;n:quan điểm, góc nhìn/v:xem
vote;/voʊt/;v:bầu cử, đưa phiếu bầu/n:phiếu bầu
vary;/ˈver.i/;v:khác nhau, thay đổi khác đi
very;/ˈver.i/;adv:rất, cực
visa;/ˈviː.zə/;n:hộ chiếu
vine;/vaɪn/;n:cây dây leo, cây nho
vein;/veɪn/;n:đường mạch, tĩnh mạch
vest;/vest/;n:áo vét
vent;/vent/;n:ống thông gió
vase;/veɪs/;n:bình, lọ
value;/ˈvæl.juː/;n:giá trị/v:đưa ra giá trị
video;/ˈvɪd.i.oʊ/;n:đoạn phim được quay lại
visit;/ˈvɪz.ɪt/;v:thăm, đến/n:chuyến thăm
valid;/ˈvæl.ɪd/;adj:có hiệu lực
viral;/ˈvaɪ.rəl/;adj:nổi như cồn
voice;/vɔɪs/;n:giọng nói
villa;/ˈvɪl.ə/;n:biệt thự
vague;/veɪɡ/;adj:mơ hồ
vocal;/ˈvoʊ.kəl/;n:giọng hát
venom;/ˈvenəm/;n:nọc độc
vital;/ˈvaɪ.t̬əl/;adj:quan trọng, cần thiết
vivid;/ˈvɪv.ɪd/;adj:sống động
verge;/vɝːdʒ/;n:bờ vực
virus;/ˈvaɪ.rəs/;n:vi-rút
volume;/ˈvɑːl.juːm/;n:âm lượng/n:sức chứa
vision;/ˈvɪʒ.ən/;n:tầm nhìn
vendor;/ˈven.dɚ/;n:người bán hàng
valley;/ˈvæl.i/;n:thung lũng
victim;/ˈvɪk.təm/;n:nạn nhân
visual;/ˈvɪʒ.u.əl/;adj:trực quan
vaccum;/ˈvæk.juːm/;n:máy hút bụi
verbal;/ˈvɝː.bəl/;adj:thuộc lời nói
voyage;/ˈvɔɪ.ɪdʒ/;n:hành trình (thường là bằng tàu thủy)
violin;/ˌvaɪəˈlɪn/;n:đàn vi-ô-lông
verify;/ˈver.ə.faɪ/;v:xác thực
viewer;/ˈvjuː.ɚ/;n:người xem
vanish;/ˈvæn.ɪʃ;v:tan biến, biến mất
variety;/vəˈraɪ.ə.t̬i/;n:sự đa dạng
village;/ˈvɪl.ɪdʒ/;n:làng bản
virtual;/ˈvɝː.tʃu.əl/;adj:ảo, không có thực
vehicle;/ˈviː.ə.kəl/;n:phương tiện đi lại (gắn máy)
visible;/ˈvɪz.ə.bəl/;adj:có thể nhìn thấy
villain;/ˈvɪl.ən/;n:kẻ xấu
various;/ˈver.i.əs/;adj:đa dạng
version;/ˈvɝː.ʃən/;n:phiên bản
victory;/ˈvɪk.tɚ.i/;n:chiến thắng
violent;/ˈvaɪə.lənt/;adj:mang tính bạo lực
violence;/ˈvaɪə.ləns/;n:sự bạo lực
vaccine;/vækˈsiːn/;n:vắc xin
volcano;/vɑːlˈkeɪ.noʊ/;n:núi lửa
vinegar;/ˈvɪn.ə.ɡɚ/;n:giấm
violate;/ˈvaɪ.ə.leɪt/;v:xâm phạm
valuable;/ˈvæl.jə.bəl/;adj:có giá trị
vacation;/veɪˈkeɪ.ʃən/;n:kỳ nghỉ
variable;/ˈver.i.ə.bəl/;adj:hay thay đổi, biến đổi
volunteer;/ˌvɑː.lənˈtɪr/;n:tình nguyện viên
valuation;/ˌvæl.juˈeɪ.ʃən/;n:sự định giá
violation;/ˌvaɪ.əˈleɪ.ʃən/;n:sự xâm phạm
vibrate;/ˈvaɪ.breɪt/;v:rung
vibration;/vaɪˈbreɪ.ʃən/;n:sự rung
vocational;/voʊˈkeɪ.ʃən.əl/;adj:học nghề
vulnerable;/ˈvʌl.nɚ.ə.bəl/;adj:dễ bị tổn thương
volleyball;/ˈvɑː.li.bɑːl/;n:bóng chuyền
verification;/ˌver.ə.fəˈkeɪ.ʃən/;n:sự xác thực
vegetable;/ˈvedʒ.tə.bəl/;n:rau củ
wait;/weɪt/;v:chờ đợi
walk;/wɔːk/;v:đi, đi bộ/n:sự đi bộ, sự đi dạo
wall;/wɔːl/;n:tường, vách
want;/wɒnt/;v:muốn
war;/wɔːr/;n:chiến tranh
warm;/wɔːm/;adj:ấm, ấm áp/v:làm cho nóng, hâm nóng
wash;/wɒʃ/;v:rửa, giặt
watch;/wɒtʃ/;v:nhìn, theo dõi, quan sát/n:sự canh gác, sự canh phòng
water;/ˈwɔː.tər/;n:nước
wave;/weɪv/;n:sóng, gợn nước/v:gợn sóng, uốn thành sóng
way;/ˈweɪ/;n:đường, đường đi
we;/wiː/;pron:chúng tôi, chúng ta
wear;/weər/;v:mặc, mang, đeo
weather;/ˈweð.ər/;n:thời tiết
week;/wiːk/;n:tuần, tuần lễ
weight;/weɪt/;n:trọng lượng
well;/wel/;adv:tốt, giỏi/adj:tốt
west;/west/;n:phía Tây/adj:thuộc phía Tây/adv:về phía Tây
what;/wɒt/;pron:gì, cái gì
wheel;/wiːl/;n:bánh xe
when;/wen/;conj:khi/pron:lúc/adv:vào lúc nào
where;/weər/;adv:đâu, ở đâu/conj:nơi mà
whether;/ˈweð.ər/;conj:có..không, có… chăng
which;/wɪtʃ/;pron:nào, bất cứ.. nào/det:ấy, đó
while;/waɪl/;conj:trong lúc, trong khi/n:lúc, chốc, lát
white;/waɪt/;adj:trắng/n:màu trắng
who;/huː/;pron:ai, người nào
whole;/həʊl/;adj:bình an vô sự, không hư hỏng/n:toàn bộ, tất cả, toàn thể
whose;/huːz/;det:của ai
why;/waɪ/;adv:tại sao, vì sao
wide;/waɪd/;adj:rộng, rộng lớn
wife;/waɪf/;n:vợ
wild;/waɪld/;adj:dại, hoang/n:hoang dã
